X,X1,Espesor Comp (-),Y
-38.57485854149999,104.29498790849999,-6.29,-193.3417
-70.92000112500001,7.880000124999995,-4.15,-179.1814
-67.49887980000001,17.942740200000003,-4.4,-163.0661
-8.711990612,24.795665588,-2.14,-149.3429
-4.413671416,58.638777383999994,-3.52,-141.7889
-27.34577863599999,3.728969813999999,-2.01,-135.242
-49.18091006399999,13.871538736000005,-3.52,-129.4506
-135.906942808,13.44134599200001,-6.48,-115.3214
-65.2389365,22.921788500000005,-4.5,-107.3188
-18.6865173705,70.2968986795,-4.53,-99.4952
-66.08664851249999,68.78406273750001,-6.05,-79.8591
-11.392603108000001,22.115053091999997,-2.14,-71.9528
-37.482402,56.223603000000004,-4.7,-49.9385
-42.84010014900001,59.160138301,-4.99,-29.9435
-16.674657208,37.114559592000006,-3.12,-24.8552
718.6986094357997,764.0207170192047,-2.7307,-1.1744
680.93289646648,773.225245737605,-4.6495,-7.048
738.1508855591136,740.8701715015936,-0.1372,-25.8681
654.0582633387008,743.5809056942209,-4.5496,-26.0053
700.9969479747742,812.4342394754192,-5.3079,-47.6159
678.8839174443268,743.9010265461068,-3.6018,-67.1413
708.888629170373,760.740913886418,-3.0331,-87.2354
718.976369340785,894.17329150091,-7.2035,-101.0738
705.7603243484153,780.1944018518603,-3.9809,-130.6463
667.7989448216583,742.2330223251033,-3.9809,-144.99
713.948237858645,742.57654790409,-1.8759,-148.7799
623.8724434859419,820.6988104589218,-7.7722,-156.9313
735.5339553497932,809.9680328532382,-3.9809,-170.7697
693.8514666027199,745.703751318765,-3.0331,-180.8167
700.6681472146,756.8565083366,-3.226,-194.4656
517,668.1382529004031,-6.53184,-4
464,637.2598536241152,-7.151040000000001,-145
280,420.5905970771072,-6.22224,-160
468,555.8456651817088,-4.48848,-4
234,360.39860080768,-5.7888,-162
314,456.6727605330432,-6.28416,-135
419,543.4259081866368,-5.72688,-209
38,229.94237171711995,-7.6464,-145
544,621.9389329204353,-4.116960000000001,-179
593,717.4259081866368,-5.72688,-184
429,630.6120432683008,-7.89408,-123
148,349.6120432683008,-7.89408,-198
5,108.6294237430272,-5.0457600000000005,-159
145,271.39860080768,-5.7888,-192
266,417.1382529004032,-6.53184,-62
178,304.39860080768,-5.7888,-128
428,519.2573801036928,-4.6123199999999995,-12
315,539.1693097386112,-8.45136,-204
24,108.48868567717122,-4.3646400000000005,-84
53,151.2450162,-4.86,-42
163,357.3392638233728,-7.7083200000000005,-102
77,226.00135402702077,-6.469919999999999,-206
208,264.7389639214208,-3.25008,-18
654,733.5558453280768,-4.17888,-198
611,727.67197624608,-5.4792000000000005,-46
82,255.2598536241152,-7.151040000000001,-139
211,398.1896390676992,-7.52256,-191
488,599.0002077614593,-5.29344,-97
671,729.164302368,-3.3120000000000007,-25
530,670.5905970771072,-6.22224,-143
69,203.4262098354688,-6.036480000000001,-84
112,313.6120432683008,-7.89408,-142
617,658.9633753969152,-2.5689600000000006,-184
587,652.49625241632,-3.6216000000000004,-165
56,135.55584532807683,-4.17888,-210
45,264.0607968757888,-8.32752,-107
58,119.05603082424321,-3.4358400000000007,-79
186,287.8209373743232,-4.983840000000001,-187
550,684.4262098354689,-6.036480000000001,-108
143,337.3392638233728,-7.7083200000000005,-137
501,585.4886856771712,-4.3646400000000005,-96
573,695.4668994199552,-5.664960000000001,-88
540,680.5905970771072,-6.22224,-138
136,243.28744804352,-5.1696,-132
585,672.8456651817088,-4.48848,-132
